bet,eig,degree,strength,name,sector,sect_level,deg,strg,key_actors,st
0.328,0.722,44,503,Montgomery County Community College,4,Pub_2-yr,0.587,0.701,2.338,PA
0.116,0.989,25,604,Bucks County Community College,4,Pub_2-yr,0.333,0.841,2.279,PA
0.042,0.929,23,641,Indiana University of Pennsylvania-Main Campus,1,Pub_4-yr,0.307,0.893,2.171,PA
0,0.987,21,604,Community College of Philadelphia,4,Pub_2-yr,0.28,0.841,2.108,PA
0.69,0.023,61,376,Purdue University Global-Davenport (formerly Kaplan University-Davenport),1,Pub_4-yr,0.813,0.524,2.05,IA
0,1,17,549,Shippensburg University of Pennsylvania,1,Pub_4-yr,0.227,0.765,1.992,PA
0.831,0,75,75,University of San Francisco,2,Priv_4-yr_No-prof,1,0.104,1.935,CA
0.12,0.798,29,448,Edinboro University of Pennsylvania,1,Pub_4-yr,0.387,0.624,1.929,PA
0.257,0.683,32,388,Clarion University of Pennsylvania,1,Pub_4-yr,0.427,0.54,1.907,PA
0,0.925,18,523,Mansfield University of Pennsylvania,1,Pub_4-yr,0.24,0.728,1.893,PA
0.004,0.838,23,518,Harrisburg Area Community College-Harrisburg,4,Pub_2-yr,0.307,0.721,1.87,PA
0,0.88,17,517,Slippery Rock University of Pennsylvania,1,Pub_4-yr,0.227,0.72,1.827,PA
0.012,0.838,20,498,Butler County Community College,4,Pub_2-yr,0.267,0.694,1.811,PA
0.836,0,63,63,University of Toledo,1,Pub_4-yr,0.84,0.088,1.764,OH
0,0.838,17,479,Carlow University,2,Priv_4-yr_No-prof,0.227,0.667,1.732,PA
0.459,0.284,33,392,Drexel University,2,Priv_4-yr_No-prof,0.44,0.546,1.729,PA
0.028,0.649,25,446,Delaware County Community College,4,Pub_2-yr,0.333,0.621,1.631,PA
1,0.002,41,59,Strayer University-District of Columbia,3,Priv_4-yr-Profit,0.547,0.082,1.631,DC
0.026,0.712,22,426,Lehigh Carbon Community College,4,Pub_2-yr,0.293,0.593,1.624,PA
0.801,0.009,42,165,Northern Virginia Community College,4,Pub_2-yr,0.56,0.23,1.6,VA
0.038,0.693,20,412,Community College of Beaver County,4,Pub_2-yr,0.267,0.574,1.572,PA
0.022,0.667,21,411,Community College of Allegheny County,4,Pub_2-yr,0.28,0.572,1.541,PA
0.016,0.625,22,397,Northampton County Area Community College,4,Pub_2-yr,0.293,0.553,1.487,PA
0.747,0.006,31,227,Jamestown Community College,4,Pub_2-yr,0.413,0.316,1.482,NY
0.029,0.039,34,688,SUNY College of Environmental Science and Forestry,1,Pub_4-yr,0.453,0.958,1.479,NY
0.582,0,58,58,University of North Carolina at Chapel Hill,1,Pub_4-yr,0.773,0.081,1.436,NC
0,0.002,24,718,George Mason University,1,Pub_4-yr,0.32,1,1.322,VA
0.888,0,23,75,Western Kentucky University,1,Pub_4-yr,0.307,0.104,1.299,KY
0,0.577,18,332,California University of Pennsylvania,1,Pub_4-yr,0.24,0.462,1.279,PA
0.005,0.501,22,335,Westmoreland County Community College,4,Pub_2-yr,0.293,0.467,1.266,PA
0.388,0,33,262,Seattle University,2,Priv_4-yr_No-prof,0.44,0.365,1.193,WA
0,0,39,477,Regis University,2,Priv_4-yr_No-prof,0.52,0.664,1.184,CO
0.801,0,23,46,SUNY College at Oswego,1,Pub_4-yr,0.307,0.064,1.172,NY
0.432,0,47,58,Azusa Pacific University,2,Priv_4-yr_No-prof,0.627,0.081,1.14,CA
0.333,0,34,242,Columbia College-Chicago,2,Priv_4-yr_No-prof,0.453,0.337,1.123,PR
0,0.497,17,281,Kutztown University of Pennsylvania,1,Pub_4-yr,0.227,0.391,1.115,PA
0,0.486,17,285,Luzerne County Community College,4,Pub_2-yr,0.227,0.397,1.11,PA
0.035,0.417,24,239,Lock Haven University,1,Pub_4-yr,0.32,0.333,1.105,PA
0.994,0,7,7,Glendale Community College - California,4,Pub_2-yr,0.093,0.01,1.097,CA
0.384,0,21,305,University of Missouri-Columbia,1,Pub_4-yr,0.28,0.425,1.089,MO
0.476,0.002,28,169,SUNY Adirondack (formerly Adirondack Community College),4,Pub_2-yr,0.373,0.235,1.086,NY
0.394,0,39,89,Mountain Empire Community College,4,Pub_2-yr,0.52,0.124,1.038,VA
0.672,0,17,92,University of Kentucky,1,Pub_4-yr,0.227,0.128,1.027,KY
0.033,0.369,21,245,Pennsylvania Highlands Community College,4,Pub_2-yr,0.28,0.341,1.023,PA
0,0.432,17,244,West Chester University of Pennsylvania,1,Pub_4-yr,0.227,0.34,0.999,PA
0.38,0,39,50,Texas Tech University,1,Pub_4-yr,0.52,0.07,0.97,TX
0.551,0,24,47,Bluefield College,2,Priv_4-yr_No-prof,0.32,0.065,0.936,VA
0.361,0.003,26,160,SUNY College of Agriculture and Technology at Cobleskill,1,Pub_4-yr,0.347,0.223,0.934,NY
0.324,0,25,179,Bristol Community College,4,Pub_2-yr,0.333,0.249,0.906,MA
0,0.372,18,209,Lincoln University of Pennsylvania,1,Pub_4-yr,0.24,0.291,0.903,PA
0.058,0.334,18,194,Bloomsburg University of Pennsylvania,1,Pub_4-yr,0.24,0.27,0.902,PA
0.318,0,30,83,Blue Ridge Community College - Virginia,4,Pub_2-yr,0.4,0.116,0.834,VA
0,0.345,16,196,Millersville University of Pennsylvania,1,Pub_4-yr,0.213,0.273,0.831,PA
0.635,0.002,7,61,Rockland Community College,4,Pub_2-yr,0.093,0.085,0.815,NY
0,0.331,16,187,Cheyney University of Pennsylvania,1,Pub_4-yr,0.213,0.26,0.804,PA
