"State","Core_lower_division","Common_numbering","Asocc_deg_guarateed","Reverse_transfer","numb","State_abb","prop_agg","bet","eig","degree","pam_clust"
"Alabama",1,0,0,1,2,"AL",0.05,0.0029492191346617,0.17679705212773,2,"4"
"Alaska",1,0,0,0,1,"AK",0.111111111111111,0,0.104054603099439,1,"2"
"Arizona",1,1,0,0,2,"AZ",0.109090909090909,0.00315766179027822,0.16111098219742,2,"5"
"Arkansas",1,1,1,0,3,"AR",0,0.007417495552582,0.261164457355966,3,"5"
"California",1,0,0,0,1,"CA",0.158284023668639,0,0.104054603099439,1,"2"
"Colorado",1,1,1,1,4,"CO",0.3,0.0160006596094309,0.333906906384257,4,"1"
"Connecticut",0,0,0,0,0,"CT",0.295774647887324,0,8.08307204277018e-18,0,"3"
"Delaware",0,0,0,0,0,"DE",0.125,0,8.08307204277018e-18,0,"3"
"Florida",1,1,1,1,4,"FL",0.0973451327433628,0.0160006596094309,0.333906906384257,4,"1"
"Georgia",1,0,1,0,2,"GA",0.156028368794326,0.00135302934228268,0.204108078257985,2,"2"
"Hawaii",1,0,1,1,3,"HI",0.318181818181818,0.00586744699526528,0.276850527286276,3,"4"
"Idaho",1,1,1,0,3,"ID",0,0.007417495552582,0.261164457355966,3,"5"
"Illinois",1,0,1,1,3,"IL",0.195020746887967,0.00586744699526528,0.276850527286276,3,"4"
"Indiana",1,1,1,0,3,"IN",0.0566037735849057,0.007417495552582,0.261164457355966,3,"5"
"Iowa",0,0,1,1,2,"IA",0.115384615384615,0.0015651985183209,0.172795924186837,2,"4"
"Kansas",1,1,1,1,4,"KS",0.283783783783784,0.0160006596094309,0.333906906384257,4,"1"
"Kentucky",1,0,1,0,2,"KY",0.406976744186047,0.00135302934228268,0.204108078257985,2,"2"
"Louisiana",1,1,1,1,4,"LA",0.0176991150442478,0.0160006596094309,0.333906906384256,4,"1"
"Maine",0,0,1,1,2,"ME",0.114285714285714,0.0015651985183209,0.172795924186837,2,"4"
"Maryland",1,0,1,1,3,"MD",0.30379746835443,0.00586744699526528,0.276850527286276,3,"4"
"Massachusetts",1,0,1,1,3,"MA",0.277027027027027,0.00586744699526528,0.276850527286276,3,"4"
"Michigan",0,0,0,1,1,"MI",0.182926829268293,0,0.0727424490282906,1,"3"
"Minnesota",0,1,0,0,1,"MN",0.0206185567010309,0,0.0570563790979805,1,"3"
"Mississippi",1,0,1,1,3,"MS",0,0.00586744699526528,0.276850527286276,3,"4"
"Missouri",1,1,1,1,4,"MO",0.131034482758621,0.0160006596094309,0.333906906384256,4,"1"
"Montana",1,0,0,0,1,"MT",0,0,0.104054603099439,1,"2"
"Nebraska",0,0,0,0,0,"NE",0.35,0,8.08307204277018e-18,0,"3"
"Nevada",1,1,1,1,4,"NV",0.075,0.0160006596094309,0.333906906384257,4,"1"
"New Hampshire",0,0,0,0,0,"NH",0.277777777777778,0,8.08307204277018e-18,0,"3"
"New Jersey",1,0,1,1,3,"NJ",0.24375,0.00586744699526528,0.276850527286276,3,"4"
"New Mexico",1,1,1,0,3,"NM",0.391304347826087,0.007417495552582,0.261164457355966,3,"5"
"New York",0,0,0,0,0,"NY",0.304651162790698,0,8.08307204277018e-18,0,"3"
"North Carolina",1,1,1,0,3,"NC",0.363636363636364,0.007417495552582,0.261164457355966,3,"5"
"North Dakota",1,1,0,0,2,"ND",0.846153846153846,0.00315766179027822,0.16111098219742,2,"5"
"Ohio",1,0,1,1,3,"OH",0.274021352313167,0.00586744699526528,0.276850527286276,3,"4"
"Oklahoma",1,0,1,0,2,"OK",0.0404040404040404,0.00135302934228268,0.204108078257985,2,"2"
"Oregon",1,1,1,1,4,"OR",0.181818181818182,0.0160006596094309,0.333906906384257,4,"1"
"Pennsylvania",1,0,1,1,3,"PA",0.242718446601942,0.00586744699526528,0.276850527286276,3,"4"
"Rhode Island",0,0,1,1,2,"RI",0.409090909090909,0.0015651985183209,0.172795924186837,2,"4"
"South Carolina",1,0,1,0,2,"SC",0.763440860215054,0.00135302934228268,0.204108078257985,2,"2"
"South Dakota",1,1,1,0,3,"SD",0.25,0.007417495552582,0.261164457355966,3,"5"
"Tennessee",1,1,1,1,4,"TN",0.0529801324503311,0.0160006596094309,0.333906906384256,4,"1"
"Texas",1,1,0,1,3,"TX",0.111940298507463,0.0101756273288063,0.23385343122571,3,"1"
"Utah",1,1,1,0,3,"UT",0.0769230769230769,0.007417495552582,0.261164457355966,3,"5"
"Vermont",0,0,0,0,0,"VT",0.368421052631579,0,8.08307204277018e-18,0,"3"
"Virginia",1,0,1,0,2,"VA",0.406896551724138,0.00135302934228268,0.204108078257985,2,"2"
"Washington",1,0,1,1,3,"WA",0.37,0.00586744699526528,0.276850527286276,3,"4"
"West Virginia",1,0,1,1,3,"WV",0.0694444444444444,0.00586744699526528,0.276850527286276,3,"4"
"Wisconsin",1,0,1,1,3,"WI",0.0777777777777778,0.00586744699526528,0.276850527286276,3,"4"
"Wyoming",0,1,1,0,2,"WY",1,0.00290680442002111,0.157109854256527,2,"5"
