STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Var1,CC.number,CC.W.agrmnt,prop.CC.W.agrmnt,FIPS_Code,Area_name,POVALL_2021,Pct.Poverty,Unemployment.rate ,Median_Household.Income,Less_than_HS,College_or_more,Net_Migration,Core_lower_division,Common_numbering,Asocc_deg_guarateed,Reverse_transfer,numb,lagged.prop.CC.W.agrmnt
10,1779781,0400000US10,10,DE,Delaware,0,5046731559,1399179670,,,,0,10000,Delaware,113026,11.5,5.5,71636,8.9,33.6,13.7,0,0,0,0,0,0.837333333
33,1779794,0400000US33,33,NH,New Hampshire,0,23190115212,1025971768,4,7,7,1,33000,New Hampshire,99562,7.4,3.4,88268,6.4,38.2,7.3,0,0,0,0,0,0.720333333
31,1779792,0400000US31,31,NE,Nebraska,0,1.99E+11,1371105730,4,8,9,1.125,31000,Nebraska,201627,10.5,2.7,66949,8.3,32.9,-2.2,0,0,0,0,0,0.593
36,1779796,0400000US36,36,NY,New York,0,1.22E+11,19257128505,4,38,31,0.816,36000,New York,2703053,14,7,74230,12.6,38.1,-13.4,0,0,0,0,0,0.9112
50,1779802,0400000US50,50,VT,Vermont,0,23872569964,1030754609,4,1,1,1,50000,Vermont,63208,10.2,3.7,72415,6.1,40.9,8.1,0,0,0,0,0,0.897
9,1779780,0400000US09,9,CT,Connecticut,0,12541690473,1816424193,4,14,12,0.857,9000,Connecticut,355861,10.1,6.3,83628,8.9,40.6,7,0,0,0,0,0,0.897
27,662849,0400000US27,27,MN,Minnesota,0,2.06E+11,18949394733,4,31,2,0.065,27000,Minnesota,519437,9.3,3.8,77712,6.4,37.6,-1.9,0,1,0,0,1,0.54075
30,767982,0400000US30,30,MT,Montana,0,3.77E+11,3866634365,4,11,,0,30000,Montana,129910,12,3.4,63357,5.6,33.7,19.2,1,0,0,0,1,0.50725
26,1779789,0400000US26,26,MI,Michigan,0,1.47E+11,1.04E+11,4,25,14,0.56,26000,Michigan,1283086,13,5.8,63444,8.4,30.6,-2.2,0,0,0,1,1,0.548333333
6,1779778,0400000US06,6,CA,California,0,4.04E+11,20293573058,4,107,85,0.794,6000,California,4742405,12.3,7.3,84831,15.8,35.3,-10.5,1,0,0,0,1,0.315666667
56,1779807,0400000US56,56,WY,Wyoming,0,2.51E+11,1867503716,4,7,3,0.429,56000,Wyoming,60226,10.6,4.6,66508,6.3,28.5,3.3,0,1,1,0,2,0.434
38,1779797,0400000US38,38,ND,North Dakota,0,1.79E+11,4414779956,4,5,4,0.8,38000,North Dakota,82270,10.9,3.1,67603,6.7,31.1,-4.5,1,1,0,0,2,0.288333333
13,1705317,0400000US13,13,GA,Georgia,0,1.49E+11,4418360134,4,24,8,0.333,13000,Georgia,1493837,14.2,3.9,66507,11.8,33,4.2,1,0,1,0,2,0.3898
40,1102857,0400000US40,40,OK,Oklahoma,0,1.78E+11,3373725677,4,27,2,0.074,40000,Oklahoma,599003,15.4,4,55829,11.3,26.8,7.2,1,0,1,0,2,0.531
21,1779786,0400000US21,21,KY,Kentucky,0,1.02E+11,2367816964,4,16,15,0.938,21000,Kentucky,712023,16.3,4.4,55532,12.3,25.7,1,1,0,1,0,2,0.572285714
19,1779785,0400000US19,19,IA,Iowa,0,1.45E+11,1085964740,4,16,6,0.375,19000,Iowa,340626,11,3.8,65645,7.2,29.7,1.7,0,0,1,1,2,0.601666667
1,1779775,0400000US01,1,AL,Alabama,0,1.31E+11,4591897964,4,26,2,0.077,1000,Alabama,800848,16.3,3.4,53990,12.6,26.7,5.9,1,0,0,1,2,0.097
4,1779777,0400000US04,4,AZ,Arizona,0,2.94E+11,855871553,4,20,6,0.3,4000,Arizona,919680,12.9,5.1,68967,11.7,31.2,12.4,1,1,0,0,2,0.4524
51,1779803,0400000US51,51,VA,Virginia,0,1.02E+11,8528040726,4,24,24,1,51000,Virginia,862792,10.3,3.9,80926,9.2,40.3,1,1,0,1,0,2,0.532
44,1219835,0400000US44,44,RI,Rhode Island,0,2677763359,1323686988,4,1,1,1,44000,Rhode Island,126971,12.1,5.5,73324,10.9,35.3,1.3,0,0,1,1,2,0.866
45,1779799,0400000US45,45,SC,South Carolina,0,77866200776,5074243221,4,20,18,0.9,45000,South Carolina,736098,14.5,3.9,59447,11.2,29.8,13.9,1,0,1,0,2,0.625
23,1779787,0400000US23,23,ME,Maine,0,79888263364,11745102727,4,7,2,0.286,23000,Maine,149571,11.2,4.6,64823,6.3,33.6,13.4,0,0,1,1,2,1
24,1714934,0400000US24,24,MD,Maryland,0,25151992308,6979074857,4,16,11,0.688,24000,Maryland,620829,10.3,5.3,90129,9.2,41.6,-1.4,1,0,1,1,3,0.47875
5,68085,0400000US05,5,AR,Arkansas,0,1.35E+11,3121950081,4,22,,0,5000,Arkansas,471195,16,4.1,52577,12.3,24.3,6.2,1,1,1,0,3,0.228333333
35,897535,0400000US35,35,NM,New Mexico,0,3.14E+11,726482113,4,19,15,0.789,35000,New Mexico,367050,17.7,7.1,54304,13.2,28.5,0.5,1,1,1,0,3,0.2992
49,1455989,0400000US49,49,UT,Utah,0,2.13E+11,6529973239,4,4,1,0.25,49000,Utah,286086,8.7,2.7,79449,6.9,35.4,9.6,1,1,1,0,3,0.3245
54,1779805,0400000US54,54,WV,West Virginia,0,62266298634,489204185,4,11,1,0.091,54000,West Virginia,291051,16.8,5.1,51122,11.9,21.8,2,1,0,1,1,3,0.7814
28,1779790,0400000US28,28,MS,Mississippi,0,1.22E+11,3914344129,4,15,,0,28000,Mississippi,549710,19.2,5.5,48871,14.4,23.2,-1,1,0,1,1,3,0.04125
16,1779783,0400000US16,16,ID,Idaho,0,2.14E+11,2391569647,4,4,,0,16000,Idaho,202091,10.8,3.5,66318,8.8,29.1,27.7,1,1,1,0,3,0.2905
46,1785534,0400000US46,46,SD,South Dakota,0,1.96E+11,3386737669,4,5,4,0.8,46000,South Dakota,103337,11.9,2.6,66843,7.5,30,8,1,1,1,0,3,0.465666667
42,1779798,0400000US42,42,PA,Pennsylvania,0,1.16E+11,3397909903,4,17,14,0.824,42000,Pennsylvania,1503929,12,6,68931,8.6,33.1,2.9,1,0,1,1,3,0.508666667
18,448508,0400000US18,18,IN,Indiana,0,92789363558,1541248299,4,1,1,1,18000,Indiana,799733,12.1,3.9,62723,10.2,27.8,3.3,1,1,1,0,3,0.6555
34,1779795,0400000US34,34,NJ,New Jersey,0,19048916230,3533083369,4,19,19,1,34000,New Jersey,925852,10.2,6.6,89227,9.5,41.5,-2,1,0,1,1,3,0.546666667
48,1779801,0400000US48,48,TX,Texas,0,6.77E+11,18978390713,4,61,27,0.443,48000,Texas,4122799,14.2,5.6,66959,15.2,31.5,8,1,1,0,1,3,0.23125
17,1779784,0400000US17,17,IL,Illinois,0,1.44E+11,6216493488,4,48,32,0.667,17000,Illinois,1493042,12.1,6.1,72215,10.1,36.2,-8.2,1,0,1,1,3,0.6532
53,1779804,0400000US53,53,WA,Washington,0,1.72E+11,12548738684,4,12,5,0.417,53000,Washington,755589,9.9,5.2,84155,8.1,37.3,-0.2,1,0,1,1,3,0.3235
39,1085497,0400000US39,39,OH,Ohio,0,1.06E+11,10274702852,4,35,16,0.457,39000,Ohio,1523366,13.3,5.1,62286,8.9,29.7,-1.6,1,0,1,1,3,0.6826
55,1779806,0400000US55,55,WI,Wisconsin,0,1.40E+11,29343646672,4,16,3,0.188,55000,Wisconsin,622948,10.8,3.8,67150,7.1,31.5,-2.7,1,0,1,1,3,0.41675
37,1027616,0400000US37,37,NC,North Carolina,0,1.26E+11,13456093195,4,60,55,0.917,37000,North Carolina,1383626,13.5,4.9,61997,11,33,10.9,1,1,1,0,3,0.56475
